Maa Kali Road Centre,23470,Shyam Bazar
Gopals Kitchen,18350912,Shyam Bazar
Sundaram Sweets,18481383,Shyam Bazar
Take Baked,18622893,Shyam Bazar
Bong Chinese,18696594,Shyam Bazar
Shanti Hotel,22358,Shyam Bazar
Platter,24321,Shyam Bazar
Metro Hotel,25729,Shyam Bazar
Rupa Restaurant,22448,Shyam Bazar
Five Point Cafe,18393918,Shyam Bazar
Kali Kebin,22357,Shyam Bazar
Punjab Hindu Hotel,22366,Shyam Bazar
Chowman,18471936,Sinthi
FoodPath,21892,Sinthi
Capnil Kitchen Restaurant,21718,Sinthi
Chak De Phatte,18589905,Sinthi
Mio Amore,25250,Sinthi
Dhakai Handi,18793095,Sinthi
Domino's Pizza,24543,Sinthi
Pleasure,24281,Sinthi
Mahua,24073,Sinthi
Jalajoga Mishti,18136926,Sinthi
Dolphin,18551164,Sinthi
My Kolkata,18614757,Sinthi
Cafe 80's,18567741,Sinthi
BakeBerry,18541114,Sinthi
The Cric World,18017617,Sinthi
Banjara,23154,Sinthi
Just Fried,18503518,Sinthi
Haunted Club,18681662,Sinthi
Vaibhav,18601659,Sinthi
Schezwan Dhaba ,18636954,Sinthi
Laxminarayan Mistanna Bhandar,24072,Sinthi
The French Loaf,18481377,Sinthi
Tandoor-E-Night,18852511,Sinthi
Nh2 Food Junction,18309458,Sinthi
The Chicken Kitchen,18498771,Sinthi
Mr & Mrs Idly,18609225,Sinthi
Jaiswal Food Corner,18886837,Sinthi
Bakin' Smiles,18567803,Sinthi
Food Club,18596483,Sinthi
Gitanjali Restaurant & Hotel,18765480,Sinthi
Chaplin Chinese Restaurant,22463,Sinthi
Annapurna Jalojog,18742308,Sinthi
The Taste of Bengal,18797126,Sinthi
D'Sinful Cup,18607773,Sinthi
Ayush Fast Food,18521187,Sinthi
Hotel Jajabor,18881690,Sinthi
Domino's Pizza,24311,Sodepur
Delicious Taverna,18198698,Sodepur
Food Junction Reloaded,18544540,Sodepur
Rajdarbar,18817368,Sodepur
Wow! Momo,18602636,Sodepur
Food Diaries,18839850,Sodepur
Fries King,18746428,Sodepur
Punjabi Food Junction,18386974,Sodepur
Swade Ahlade,18530236,Sodepur
Disha Bar & Restaurent,18198677,Sodepur
Swaad,18868058,Sodepur
Saffron,18557765,Sodepur
Mio Amore,25341,Sodepur
Saezal,18611725,Sodepur
Saffron Food Cafe,18213954,Sodepur
Penguin Dhaba,23114,Sodepur
Dubbawala Street Cafe,18716704,Sodepur
Cafe Coffee Day,24013,Sodepur
What a Roll,18655783,Sodepur
Adiram's,18447690,Sodepur
Shibani Sweets,18198668,Sodepur
Shree Hari Veg Kitchen,18851405,Sodepur
